data:text/csv;charset=utf-8
amount,when
-5,2022/1/27
-5000,2022/1/27
-1000000,2022/1/27
-957559,2022/1/27
-13300,2022/1/27
-1991.3164229539927,2022/1/27
-11500,2022/1/27
-2100,2022/1/28
-1600,2022/1/28
-33246.00307312258,2022/1/29
-10000,2022/1/29
-40633.09782349394,2022/1/29
-13500.30040964796,2022/1/29
-59561.596731999925,2022/1/29
-3305.532954345823,2022/1/29
-19500,2022/1/29
-123750,2022/1/29
-7500,2022/1/29
-20017.26857407224,2022/1/29
-60950,2022/1/29
-5389.131808907635,2022/1/29
-9166.376935143686,2022/1/29
39514.10726526229,2022/1/29
-3160.696280576408,2022/1/29
-3452.487723971893,2022/1/29
-17011.616560455706,2022/1/29
-2016.331249747955,2022/1/29
4450.283650970134,2022/1/29
-257.6266369059812,2022/1/29
9035.424310843111,2022/1/29
-2490.615980120134,2022/1/30
-17676.370241215096,2022/1/30
33505.00746573507,2022/1/30
-2046.516880725381,2022/1/30
-99996.86950131302,2022/1/30
-992.7762997806434,2022/1/31
-4164.29043740448,2022/1/31
-600,2022/1/31
-1594.0207659507305,2022/1/31
-195457.2653695073,2022/1/31
-25997,2022/1/31
-5000,2022/2/1
-1385.1533253159978,2022/2/1
-5000,2022/2/1
-15028.439982547052,2022/2/1
-28443.373132725137,2022/2/2
-30104.41818750604,2022/2/2
1984.6084866011922,2022/2/3
-72503.16719438082,2022/2/3
2848841,2022/2/4
