data:text/csv;charset=utf-8
amount,when
1.5000001088672523,2021/12/30
100060,2021/12/30
64971.88067278354,2021/12/30
42761.10128289857,2021/12/30
19851.69660449875,2021/12/30
53373.151447942866,2021/12/30
124203.19959790316,2021/12/31
-124203.19959790316,2021/12/31
22995,2021/12/31
250000,2021/12/31
25000,2021/12/31
53500,2021/12/31
3949.2970536785424,2022/1/1
1814.101845844887,2022/1/1
1400.7374453902266,2022/1/1
743.3777698974058,2022/1/1
377.46840363957944,2022/1/1
496.280083,2022/1/1
353.0863549558266,2022/1/1
250.1227649710147,2022/1/1
369.4822060198786,2022/1/1
-3949.2970536785424,2022/1/1
20408.18209862691,2022/1/1
114321.52131409041,2022/1/1
43508.08988755003,2022/1/2
20075.969871951358,2022/1/2
-1814.101845844887,2022/1/2
-743.3777698974058,2022/1/2
1174.7448038016794,2022/1/2
60337.481481804534,2022/1/2
106529.47742436941,2022/1/2
211699.10542967112,2022/1/2
17771.88825819916,2022/1/2
10146.096809619068,2022/1/2
2364.092463125238,2022/1/3
-86631.91273857892,2022/1/4
64001,2022/1/4
1500103.3116769437,2022/1/4
133519.18300807875,2022/1/5
87937.90052735436,2022/1/5
3990.327796264126,2022/1/5
121509.04928368465,2022/1/6
105821.86353009404,2022/1/6
250000,2022/1/6
129859.46696017364,2022/1/6
16860.13237079689,2022/1/6
44205.46325744632,2022/1/8
-79802.36602345458,2022/1/8
-178172.77320255112,2022/1/8
-222373.40672192824,2022/1/9
-178051.4795045004,2022/1/10
183610.30194450633,2022/1/10
-63019.67537834953,2022/1/11
67964.02597627245,2022/1/11
-67202.66052048889,2022/1/12
1242.0695794863736,2022/1/14
-1159491.0863398812,2022/1/14
1148252.0716200455,2022/1/14
-112955.40488877846,2022/1/14
139969.06431569278,2022/1/14
8438.030318429699,2022/1/15
98502.98204655625,2022/1/16
6323.187071647429,2022/1/16
202941,2022/1/17
4298.93741297519,2022/1/17
22000,2022/1/18
100030,2022/1/19
100947.04668493306,2022/1/20
12703.031055022308,2022/1/20
-95879.49315145233,2022/1/21
-88578.02527390406,2022/1/21
-17495.14736727589,2022/1/22
17744.16557967012,2022/1/22
-11466.900525231367,2022/1/22
69943.19438291348,2022/1/24
-33611.11281547628,2022/1/24
-1927025.3527611797,2022/1/24
-17588.5416624562,2022/1/26
30228.126911931406,2022/1/26
-28187.028260806183,2022/1/28
-112747.91819111415,2022/2/1
-52746.31365422247,2022/2/2
35098.11598596893,2022/2/2
-37087.81431340482,2022/2/10
1707.800663425438,2022/2/12
154173.94195261103,2022/2/15
30,2022/2/25
1000.0353125873509,2022/3/6
-75790.33087675241,2022/3/12
-854.9018954437145,2022/3/13
-11824.144662237602,2022/3/13
-1356.2642183924881,2022/3/19
4748.706315016242,2022/3/26
-1168.198576586447,2022/3/26
1228.2938795134212,2022/4/7
3908.342823593701,2022/4/9
1900,2022/4/10
2000,2022/4/12
1929.7543143539308,2022/4/12
1502.0997376909365,2022/4/12
1481.6137394994557,2022/4/12
1647.3555367181411,2022/4/13
3345.5047185855556,2022/4/13
646969.573,2022/4/15
