data:text/csv;charset=utf-8
amount,when
0.14840256895863563,2022/2/24
-0.07420128447931781,2022/2/24
33.31409707757509,2022/3/8
3.622247443377556,2022/3/8
45.71103231652333,2022/3/10
16980.743143966978,2022/3/10
1,2022/3/10
-48.37735069390343,2022/3/11
-4.842843096531452,2022/3/14
226.39698871764557,2022/3/18
2.0005398027823715,2022/3/22
2.1959053800209114,2022/3/23
11.445908666438973,2022/3/24
5,2022/3/24
1.6427675519536633,2022/3/24
20.01214148672359,2022/3/24
49.972,2022/3/25
15.567666120969193,2022/3/25
220.40620143496741,2022/3/26
1.2,2022/3/27
13.869677479812433,2022/3/27
-216.2625833130893,2022/3/27
-12.842793922058823,2022/3/28
-13.81524854098851,2022/3/28
-1.074950226904646,2022/3/29
952.6982542788842,2022/3/29
-1209.9278181165282,2022/3/29
743.7349006142701,2022/3/29
-742.8695990356541,2022/3/29
-4.62321907857658,2022/3/30
2.3317492622864355,2022/4/2
23.34831975365843,2022/4/2
-23.361610402291184,2022/4/3
20.11208974181578,2022/4/6
1604.346548058821,2022/4/7
2.004929,2022/4/7
11.790182406039154,2022/4/8
101.17397288241233,2022/4/8
-23.382614471797133,2022/4/8
25,2022/4/8
1.214534262558983,2022/4/9
10,2022/4/9
-2.503693013705596,2022/4/9
-7.511079041571141,2022/4/9
5.509454155468881,2022/4/9
0.23517611520472914,2022/4/9
-5.476513435932659,2022/4/9
65.66057164761976,2022/4/9
10,2022/4/9
-453.588967938034,2022/4/9
-1360.7669038142112,2022/4/9
12.926992925439981,2022/4/9
-12.922256188862184,2022/4/9
1680.8976424424466,2022/4/9
1217.201741079013,2022/4/9
8.17015949709755,2022/4/9
-65.41774060021756,2022/4/9
-8.125495007922408,2022/4/9
24.877604712889905,2022/4/9
-9.753205474718412,2022/4/10
0.9595945283125843,2022/4/10
9.555277085753392,2022/4/10
4.100935797866573,2022/4/10
10,2022/4/10
12.159374400453418,2022/4/10
9.999972962358816,2022/4/10
-14.41715673846704,2022/4/11
-10.812867553781016,2022/4/11
-32.43860266134306,2022/4/11
-1.4339067782769297,2022/4/11
-4.3017203353276185,2022/4/11
2.18275,2022/4/11
0.897463701,2022/4/11
-2847.382062781143,2022/4/11
-3.3131542550508177,2022/4/11
-1.9638096928417437,2022/4/11
-5.851409872516911,2022/4/11
-13014.594121571374,2022/4/11
-2.3068010884470977,2022/4/11
-4.506530932343827,2022/4/12
-2.287488817249268,2022/4/12
-0.33651898600175867,2022/4/12
-1.128421803529668,2022/4/12
-2.5083269879931938,2022/4/13
-4.055995365662769,2022/4/13
74.7068,2022/4/15
