data:text/csv;charset=utf-8
amount,when
2.5,2022/2/22
20600,2022/3/1
20000,2022/3/2
3500,2022/3/4
10000,2022/3/4
100000,2022/3/4
25000,2022/3/4
279570,2022/3/4
25000,2022/3/4
50000,2022/3/5
10658.898834590118,2022/3/5
59351,2022/3/5
40232.9766555989,2022/3/6
83503.22644,2022/3/7
100,2022/3/7
499900,2022/3/7
25000,2022/3/8
-279459.9270287709,2022/3/9
256452.95768550094,2022/3/9
-256259.0000048648,2022/3/9
239564.62588535997,2022/3/9
-239038.2909925676,2022/3/9
-24947.52940192972,2022/3/9
-498521.744792119,2022/3/9
-24832.957256050104,2022/3/10
-74354.5275031601,2022/3/10
-24786.77574297693,2022/3/10
-56770.82719263053,2022/3/10
5000,2022/3/11
2079,2022/3/11
8297,2022/3/11
31850,2022/3/12
-18859.200625709967,2022/3/12
1310.32637,2022/3/14
-1250.7491065754143,2022/3/20
392.87423,2022/3/21
-18087.11477404231,2022/3/23
10040,2022/3/26
1809,2022/3/26
2500,2022/3/27
1190,2022/3/29
1000,2022/3/29
1900,2022/3/30
-21057.265630437985,2022/4/5
11970.383320590128,2022/4/5
4158.134673405943,2022/4/7
-27479.96649211949,2022/4/13
4625.49,2022/4/14
17309.76548145551,2022/4/14
-17220.56840285605,2022/4/14
11460.906935205807,2022/4/14
-11411.567366044183,2022/4/14
-2852.8825215475035,2022/4/14
-8151.092918707152,2022/4/14
4998,2022/4/14
-1244.37792630339,2022/4/15
-3733.13377891017,2022/4/15
202530.5344,2022/4/15
