data:text/csv;charset=utf-8
amount,when
-0.0004425,2022/3/24
-22.7829,2022/3/29
-5.25,2022/3/29
-15,2022/3/30
-4.82492025252347,2022/3/30
-97.91322730719928,2022/3/30
-30.400000000000002,2022/3/31
-0.15191161155287233,2022/3/31
-2.0507879533349085,2022/3/31
-3.774747676386055,2022/3/31
-3.8000000000000003,2022/3/31
-233.1801229945393,2022/3/31
-15.6,2022/3/31
-7.8,2022/3/31
-155,2022/3/31
-46.5,2022/3/31
-0.5425360872159545,2022/3/31
-1.8599999999999999,2022/3/31
-0.5390358543952064,2022/3/31
-15.700000000000001,2022/4/1
-0.35028048290575814,2022/4/1
-29.45,2022/4/1
-61.2,2022/4/2
-25.245121198730857,2022/4/2
-16.72486343650403,2022/4/2
-1.5300386455150583,2022/4/2
-76.1118233892962,2022/4/2
-5.0616464749734655,2022/4/2
-184.51544169132555,2022/4/2
-0.078,2022/4/3
-54.55435263354932,2022/4/3
-15.180119730792898,2022/4/4
-31.22549088879116,2022/4/5
-16.500059785928798,2022/4/6
-16.8,2022/4/6
-5.07,2022/4/6
-11.090136664186543,2022/4/6
-17.9,2022/4/6
-29.4,2022/4/7
-8.72,2022/4/7
-19.605516110933156,2022/4/7
-27.348221902894927,2022/4/7
-38.11658427743487,2022/4/7
-61.37068409511682,2022/4/7
-12.831463563208784,2022/4/7
-12.135948449499592,2022/4/7
-274.33792176482524,2022/4/7
-450.8271465007813,2022/4/7
-7.353555020410755,2022/4/7
-22.599999999999998,2022/4/7
-22.599999999999998,2022/4/7
-35.24741157207788,2022/4/8
-603.7830205266415,2022/4/8
-9.484320815882542,2022/4/8
-29.8,2022/4/8
-24.02231603022214,2022/4/8
-60.03860484933278,2022/4/8
-56.48428476450487,2022/4/8
-2.51064,2022/4/8
-27.915098906665595,2022/4/9
-2.186304838738185,2022/4/11
-4.896759189596368,2022/4/11
-4.5468645425500425,2022/4/11
-13.196649915005768,2022/4/11
-12.241913519713169,2022/4/11
-6.9503413079003655,2022/4/11
-53.214947184513385,2022/4/11
-2.857193680608377,2022/4/11
-9.524025927094568,2022/4/11
-6.7646669868427685,2022/4/11
-2.857193236034849,2022/4/11
-26.077468203956627,2022/4/11
-105.35666686513983,2022/4/11
-13.12494108426305,2022/4/12
-0.2796932077636668,2022/4/12
-5.125626265651746,2022/4/14
-2.690070868410761,2022/4/14
-2.6886989243428157,2022/4/14
-2.6901602065654817,2022/4/14
-3.1294774652256416,2022/4/14
-3.1608381324592156,2022/4/14
-3.878384100594868,2022/4/14
-4.284007663917027,2022/4/14
-3.499692576925219,2022/4/14
-2.6029607175430467,2022/4/14
-28.31636508510974,2022/4/14
-70.57052566613012,2022/4/15
0.000029177888191631454,2022/4/15
