data:text/csv;charset=utf-8
amount,when
-4,2022/1/4
-30.862483948280705,2022/1/5
-40000,2022/1/5
-50000,2022/1/5
-19455.584886759378,2022/1/5
-50000,2022/1/5
-127325,2022/1/5
-125286.14431367128,2022/1/6
-250000,2022/1/6
127037.62967890274,2022/1/9
-26384.24651368215,2022/1/10
164836.2503866269,2022/1/12
-39288.12732429308,2022/1/12
-5126.90912798248,2022/1/14
-99823.38266106366,2022/1/15
100034.89135989729,2022/1/19
-79612.29023355125,2022/1/19
19198.45663895064,2022/1/20
210698.7729136097,2022/1/22
90447.76745393312,2022/2/4
140983.59999999998,2022/2/4
